festival_key,festival,direction,category,items,suggested_multiplier,notes
diwali,Diwali,up,"sweets, dairy, dry fruits, oil","milk, khoya, paneer, ghee, sugar, dry fruits, besan, oil, snacks, mithai",2.0,"Biggest retail event of the year. Spike starts 7-10 days before, peaks 2-3 days before."
diwali,Diwali,up,"lighting, decoration","diya, diyas, oil lamp, candle, candles, tea light, string lights, fairy lights, lantern, kandil, toran, rangoli, rangoli colour, decoration, decorations",2.5,"Bought almost only at Diwali, so the multiple over a normal week is larger than for food. Non-perishable: over-ordering costs shelf space rather than waste."
diwali,Diwali,up,gifting,"gift box, gift set, gift hamper, gift pack, dry fruit box, chocolate box, sweet box",1.9,Corporate and household gifting. Front-loaded into the week before.
holi,Holi,up,"dairy, sweets","milk, khoya, paneer, sugar, gujiya, mawa, thandai",1.6,"Very strong dairy spike 2-3 days before. Khoya/paneer often sell out."
holi,Holi,up,"colours, water play","gulal, colours, colors, holi colour, holi colours, pichkari, water gun, water guns, water balloon, water balloons, spray colour",2.2,"Single-use and single-occasion; sells out in the last 48 hours and is dead stock the day after."
holi,Holi,up,clothing,"white kurta, white shirt, white t shirt, white tshirt, white dupatta",1.5,"White clothing is worn to be stained. A modest lift on a category that otherwise does not move."
maha_shivaratri,Maha Shivratri,up,"fasting foods, dairy, fruit","sabudana, singhara, kuttu, kuttu atta, rajgira, samak, samak rice, sendha namak, rock salt, makhana, milk, curd, fruits, potatoes",1.5,"Day-long fast broken at night. Fasting flours and dairy are bought in the two or three days before."
maha_shivaratri,Maha Shivratri,down,"non-veg, alliums","onion, garlic, chicken, mutton, fish, eggs",0.8,"Avoided by observing households. Milder than a nine-day fast: this is one day, so the run-up dip is shallow. Grains are deliberately NOT suppressed here -- fasting flours are bought in addition to the usual atta, not instead of it."
raksha_bandhan,Raksha Bandhan,up,"sweets, gifting","sweets, mithai, dry fruits, chocolates, milk, rakhi, gift box, gift pack",1.4,Gifting-driven; sweets and packaged gifts.
eid_al_fitr,Eid al-Fitr,up,"dairy, sweets, meat","milk, vermicelli, seviyan, dry fruits, sugar, ghee, meat, dates",1.8,Peak 1-2 days before. Sheer khurma ingredients spike sharply.
christmas,Christmas,up,"bakery, dairy","cake, plum cake, butter, cream, dry fruits, chocolates, wine",1.5,"Strong in Goa, Kerala, NE India and metros."
independence_day,Independence Day,up,"snacks, soft drinks","packaged snacks, chips, namkeen, biscuits, soft drink, soft drinks, cold drink, cold drinks, soda",1.12,"A holiday-outing effect, not a cooking festival. Deliberately no food-staple row: nobody stocks up on atta for 15 August."
independence_day,Independence Day,up,"flags, bunting","flag, flags, national flag, tricolour, tiranga, bunting, flag badge, paper flag",1.6,"Sells only around this date and Republic Day. Large multiple on a tiny base -- check the unit count, not the ratio."
republic_day,Republic Day,up,"snacks, soft drinks","packaged snacks, chips, namkeen, biscuits, soft drink, soft drinks, cold drink, cold drinks, soda",1.1,Mild lift; mostly a holiday-outing effect. Smaller than 15 August -- it is midwinter.
republic_day,Republic Day,up,"flags, bunting","flag, flags, national flag, tricolour, tiranga, bunting, flag badge, paper flag",1.5,Same category as 15 August and a little weaker.
